Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,127/126,127/126 Count,127/126 Variability [%],128/126,128/126 Count,128/126 Variability [%],129/126,129/126 Count,129/126 Variability [%],130/126,130/126 Count,130/126 Variability [%],131/126,131/126 Count,131/126 Variability [%],Score A2,Coverage A2,# Peptides A2,# PSM A2,Score B2,Coverage B2,# Peptides B2,# PSM B2,Score C2,Coverage C2,# Peptides C2,# PSM C2,# AAs,MW [kDa],calc. pI
A0AUZ9,Isoform 4 of Uncharacterized protein C2orf67,1.23,5,1,1,1,0.359,-;1;-,,0.275,-;1;-,,0.545,-;1;-,,0.433,-;1;-,,0.844,-;1;-,,,,,,0,1.23,1,1,,,,,648,73.2,8.65
A0AVT1,Isoform 1 of Ubiquitin-like modifier-activating enzyme 6,16.83,11,16,16,55,1.071,9;8;11,9.7,0.951,9;8;11,12.1,0.873,9;8;11,4.5,0.988,9;8;11,16.5,1.021,9;8;11,1.9,40.64,10.27,9,17,40.12,13.31,13,20,41.07,12.74,11,18,1052,117.9,6.14
A0FGR8,Isoform 2 of Extended synaptotagmin-2,25.2,9,22,22,88,0.846,15;18;19,5.4,0.882,15;18;19,5.2,0.852,15;18;19,9.3,0.916,15;18;19,0.6,0.944,15;18;19,2.5,56.57,21.39,16,28,64.28,20.49,16,30,65.35,20.94,16,30,893,98.8,8.68
A0MZ66,Isoform 4 of Shootin-1,9.86,7,4,4,5,1.283,1;2;1,15.4,1.473,1;2;1,13.5,1.213,1;2;1,15,1.066,1;2;1,16,1.22,1;2;1,3.1,3.97,4.66,2,2,6.92,5.2,2,2,3.79,2.33,1,1,558,63.5,5.6
A1A4S6,Rho GTPase-activating protein 10,6.74,3,5,5,10,0.654,1;1;1,1.9,0.71,1;1;1,30.4,0.882,1;1;1,12.2,0.796,1;1;1,22.5,0.726,1;1;1,6.9,4.58,2.29,2,2,7.98,3.44,3,3,5.33,5.73,4,5,786,89.3,7.18
A1L0T0,Isoform 1 of Acetolactate synthase-like protein,6.65,1,3,3,5,0.833,3;1;-,5,0.952,3;1;-,0.2,1.065,3;1;-,,0.992,3;1;-,1.9,0.856,3;1;-,8.4,15.09,6.65,3,4,5.28,3.32,1,1,,,,,632,67.8,8.15
A1L170,Uncharacterized protein C1orf226,3.31,1,1,1,1,,,,,,,,,,,,,,,,1.82,3.31,1,1,,,,,,,,,272,29,5.27
A2RRP1,Isoform 2 of Neuroblastoma-amplified sequence,3.6,4,5,5,6,0.713,1;1;1,20.6,0.671,1;1;1,10.1,0.781,1;1;1,11.7,0.792,1;1;1,23.6,0.919,1;1;1,4.8,0,1.69,2,2,2.14,1.51,2,2,0,0.89,2,2,2251,254.7,5.94
A2RU67,Uncharacterized protein KIAA1467,1.77,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,1.77,1,1,622,67,5.02
A2RUS2,Isoform 2 of DENN domain-containing protein 3,8.2,5,8,8,11,0.683,1;2;3,7.6,0.718,1;2;3,17,0.892,1;2;3,7.6,0.822,1;2;3,10.6,0.819,1;2;3,4.9,1.84,0.61,1,1,10.09,5.06,4,4,13.94,6.37,6,6,1146,129.7,6.87
A3KN83,Isoform 3 of Protein strawberry notch homolog 1,2.08,3,1,1,1,0.668,-;-;1,,0.597,-;-;1,,0.684,-;-;1,,0.763,-;-;1,,0.899,-;-;1,,,,,,,,,,2.22,2.08,1,1,1391,154,7.77
A4D1P6,Isoform 2 of WD repeat-containing protein 91,3.14,6,2,2,2,,,,,,,,,,,,,,,,3.64,1.73,1,1,0,1.42,1,1,,,,,636,71.3,7.31
A4UGR9,Isoform 2 of Xin actin-binding repeat-containing protein 2,0.42,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,0.42,2,2,3327,377.1,6.42
A5A3E0,POTE ankyrin domain family member F,12.19,18,2,14,988,0.574,-;1;3,,0.552,-;1;3,1.5,0.646,-;1;3,6.7,0.789,-;1;3,,0.741,-;1;3,7.4,946.7,8.37,12,332,875.05,10.51,13,322,882.14,11.63,12,334,1075,121.4,6.2
A5D8V6,Vacuolar protein sorting-associated protein 37C,9.01,1,1,1,1,0.648,1;-;-,,0.845,1;-;-,,0.673,1;-;-,,0.965,1;-;-,,0.893,1;-;-,,3.43,9.01,1,1,,,,,,,,,355,38.6,5.21
A5PLN9,Isoform 5 of UPF0533 protein C5orf44,2.91,5,1,1,3,,,,,,,,,,,,,,,,2.36,2.91,1,1,2.82,2.91,1,1,2.45,2.91,1,1,309,34.9,6.16
A5YKK6,Isoform 1 of CCR4-NOT transcription complex subunit 1,6.57,5,13,13,20,0.99,3;4;2,16,0.995,3;4;2,13.9,0.968,3;4;2,10.6,0.999,3;4;2,15.2,1.005,3;4;2,9.5,22.35,4.34,8,8,25.02,4,8,9,8.16,1.43,3,3,2376,266.8,7.11
A6NC98,Isoform 1 of Coiled-coil domain-containing protein 88B,11.18,15,15,15,21,1.162,3;4;2,7.2,1.46,3;4;2,12.7,1.279,3;4;2,8.8,1.194,3;4;2,12.1,1.035,3;4;2,6.3,25.77,7.66,10,10,23.73,5.62,8,8,10.15,2.03,3,3,1476,164.7,5.11
A6NCM1,Putative IQ and AAA domain-containing protein 1-like,0.73,3,1,1,4,,,,,,,,,,,,,,,,2.08,0.73,1,2,,,,,2.06,0.73,1,2,817,94.9,9.25
A6NDG6,Phosphoglycolate phosphatase,27.41,1,6,6,16,0.924,2;2;3,15.7,0.978,2;2;3,19.7,1.053,2;2;3,13.5,0.869,2;2;3,12.5,0.868,2;2;3,1,17.2,18.07,4,6,12.43,14.64,4,4,14.04,20.87,5,6,321,34,6.14
A6NDJ8,Putative Rab-43-like protein ENSP00000330714,12.15,5,1,2,59,0.763,1;-;1,7.4,0.714,1;-;1,,0.992,1;-;1,2.8,0.813,1;-;1,4.1,0.957,1;-;1,,56.21,12.15,2,19,53.54,12.15,2,19,64.43,12.15,2,21,181,20.2,6.54
A6NDU8,UPF0600 protein C5orf51,7.82,2,2,2,6,,,,,,,,,,,,,,,,4.63,7.82,2,2,3.28,5.44,1,1,6.02,7.82,2,3,294,33.6,5.26
A6NEE1,UPF0639 protein,1.54,1,1,1,1,0.845,1;-;-,,0.805,1;-;-,,0.754,1;-;-,,1.033,1;-;-,,1.077,1;-;-,,0,1.54,1,1,,,,,,,,,584,67.5,6.61
A6NFH5,Fatty acid-binding protein 12,8.57,1,1,2,11,1.686,-;-;1,,1.664,-;-;1,,1.162,-;-;1,,1.675,-;-;1,,1.164,-;-;1,,2.11,8.57,2,3,2.05,8.57,2,3,2.15,8.57,2,5,140,15.6,7.93
A6NGU5,Putative gamma-glutamyltranspeptidase 3,6.34,28,3,3,5,0.689,-;-;1,,0.701,-;-;1,,0.787,-;-;1,,0.712,-;-;1,,0.825,-;-;1,,2.05,1.41,1,1,5.52,4.93,2,2,6.3,3.7,2,2,568,61.5,7.14
A6NHL2,Isoform 2 of Tubulin alpha chain-like 3,13.3,3,1,7,68,,,,,,,,,,,,,,,,22.99,7.14,4,14,39.05,11.82,6,28,42.27,8.62,5,26,406,45.5,6.32
A6NHR9,Isoform 2 of Structural maintenance of chromosomes flexible hinge domain-containing protein 1,16.22,4,24,24,62,1.326,14;16;16,6.2,1.482,14;16;16,6.9,1.185,14;16;16,2.3,1.216,14;16;16,2.6,1.15,14;16;16,1.7,51.93,11.84,17,20,60.02,10.8,17,20,55.11,13.09,19,22,1917,215.6,7.01
A6NI72,Putative neutrophil cytosol factor 1B,44.5,12,2,15,71,1.532,1;3;1,10.6,2.096,1;3;1,20.7,1.833,1;3;1,13.5,1.57,1;3;1,17.3,1.185,1;3;1,5.7,71.09,36.83,11,23,75.54,42.71,14,24,69.43,38.62,13,24,391,44.8,9.13
A6NI73,Isoform 4 of Leukocyte immunoglobulin-like receptor subfamily A member 5,5.14,4,1,1,1,,,,,,,,,,,,,,,,,,,,2.54,5.14,1,1,,,,,253,27.8,6.28
A6NI87,Protein chibby homolog 3,6.61,1,1,1,1,,,,,,,,,,,,,,,,,,,,0,6.61,1,1,,,,,242,27.3,10.64
A6NIH7,Protein unc-119 homolog B,11.95,1,2,2,6,1.292,1;1;2,6.4,1.204,1;1;2,6.6,1.142,1;1;2,8,1.36,1;1;2,4.5,1.765,1;1;2,17.1,5.66,11.95,2,2,5.59,11.95,2,2,3,11.95,2,2,251,28.1,5.68
A9UHW6,Isoform 1 of MIF4G domain-containing protein,27.03,6,4,4,5,1.064,1;2;1,12.7,1.117,1;2;1,20.2,1.122,1;2;1,23.9,1.4,1;2;1,24.6,0.993,1;2;1,9.7,7.02,13.51,2,2,5.99,13.51,2,2,2.9,7.66,1,1,222,25.4,5.33
B0I1T2,Isoform 1 of Myosin-Ig,33.5,6,27,27,162,1.149,32;38;37,2.7,1.131,32;38;37,2,1.06,32;38;37,1,1.045,32;38;37,4.1,1.085,32;38;37,0.5,174.96,27.21,21,50,202.26,30.16,24,56,173.67,33.5,27,56,1018,116.4,8.79
B2RUZ4,Uncharacterized protein LOC388588,20.51,1,1,1,2,,,,,,,,,,,,,,,,,,,,3.39,20.51,1,1,3.78,20.51,1,1,78,8.7,9.03
B5MCY1,similar to tudor domain containing 1,0.53,2,1,1,1,,,,,,,,,,,,,,,,,,,,0,0.53,1,1,,,,,2080,238,7.49
C9JLW8,Protein FAM195B,29.9,1,2,2,5,1.054,1;2;-,18,1.139,1;2;-,23.2,1.001,1;2;-,,1.151,1;2;-,21.6,0.976,1;2;-,1.3,5.89,29.9,2,2,4.97,29.9,2,2,2.16,11.34,1,1,97,10.9,9.41
