Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,127/126,127/126 Count,127/126 Variability [%],128/126,128/126 Count,128/126 Variability [%],129/126,129/126 Count,129/126 Variability [%],130/126,130/126 Count,130/126 Variability [%],131/126,131/126 Count,131/126 Variability [%],Score A2,Coverage A2,# Peptides A2,# PSM A2,Score B2,Coverage B2,# Peptides B2,# PSM B2,Score C2,Coverage C2,# Peptides C2,# PSM C2,# AAs,MW [kDa],calc. pI
A0AVT1,Isoform 1 of Ubiquitin-like modifier-activating enzyme 6,20.34,6,19,19,76,1.064,11;19;11,4.2,1.178,11;19;11,8.2,0.841,11;19;11,6.1,1.086,11;19;11,11.8,1,11;19;11,9,60.67,14.26,14,24,80.47,19.58,18,32,44.69,14.73,12,20,1052,117.9,6.14
A0FGR8,Isoform 2 of Extended synaptotagmin-2,29.68,9,23,23,113,0.87,27;20;25,3.6,0.77,27;20;25,25.8,1.12,27;20;25,4.1,0.941,27;20;25,4.2,0.942,27;20;25,4.7,101.63,23.85,18,41,84.32,26.32,18,34,85.18,26.09,21,38,893,98.8,8.68
A0MZ66,Isoform 4 of Shootin-1,12.54,7,6,6,11,1.518,3;3;4,2.4,2.266,3;3;4,1.9,1.517,3;3;4,1.4,1.374,3;3;4,10.3,1.365,3;3;4,9.8,9.73,5.2,3,3,12.31,8.06,4,4,11.47,6.45,3,4,558,63.5,5.6
A0PK00,Transmembrane protein 120B,6.78,5,1,2,2,1.833,1;-;-,,2.434,1;-;-,,14.259,1;-;-,,1.768,1;-;-,,1.459,1;-;-,,0,5.01,1,1,0,1.77,1,1,,,,,339,40.2,8.9
A1A4S6,Rho GTPase-activating protein 10,7.38,3,5,5,8,0.545,2;2;1,2.5,0.428,2;2;1,28.8,0.447,2;2;1,5.5,0.749,2;2;1,11.9,0.871,2;2;1,3.8,7.25,4.2,3,3,7.39,4.33,3,3,4.88,2.42,2,2,786,89.3,7.18
A1L0T0,Isoform 1 of Acetolactate synthase-like protein,4.59,1,2,2,5,0.921,2;-;2,3.3,0.734,2;-;2,,1.153,2;-;2,4.8,1.016,2;-;2,2.7,0.959,2;-;2,,5.96,4.59,2,2,1.91,1.27,1,1,9.83,3.32,1,2,632,67.8,8.15
A2A2Y4,Isoform 4 of FERM domain-containing protein 3,2.82,5,1,1,1,,,,,,,,,,,,,,,,0,2.82,1,1,,,,,,,,,213,23.9,4.72
A2RRP1,Isoform 1 of Neuroblastoma-amplified sequence,7.72,5,12,12,16,0.971,2;3;3,13,1.079,2;3;3,30.4,1.068,2;3;3,28.1,0.909,2;3;3,10.1,0.953,2;3;3,9.1,3.05,2.78,5,5,10.79,3.63,5,5,14.87,4.18,6,6,2371,268.4,5.96
A2RU54,Homeobox protein HMX2,2.2,1,1,1,1,,,,,,,,,,,,,,,,,,,,0,2.2,1,1,,,,,273,29.6,9.01
A2RUS2,Isoform 2 of DENN domain-containing protein 3,5.76,5,6,6,9,0.641,1;2;1,13.4,0.634,1;2;1,23.2,0.583,1;2;1,11.3,0.785,1;2;1,6.5,0.806,1;2;1,7.6,5.07,3.14,3,3,9.52,4.62,4,4,4.08,2.53,2,2,1146,129.7,6.87
